pitch_type,game_date,balls,strikes,outs_when_up,inning,at_bat_number,pitch_number,run_diff,runners_on,prev_release_speed,prev_release_spin_rate,prev_pitch_type_lag1_CH,prev_pitch_type_lag1_FF,prev_pitch_type_lag1_FS,prev_pitch_type_lag1_NoPrevPitch,prev_pitch_type_lag1_SI,prev_pitch_type_lag1_SL,prev_pitch_type_lag1_ST,prev_pitch_type_lag2_CH,prev_pitch_type_lag2_FF,prev_pitch_type_lag2_FS,prev_pitch_type_lag2_NoPrevPitch,prev_pitch_type_lag2_SI,prev_pitch_type_lag2_SL,prev_pitch_type_lag2_ST,prev_pitch_type_lag3_CH,prev_pitch_type_lag3_FF,prev_pitch_type_lag3_FS,prev_pitch_type_lag3_NoPrevPitch,prev_pitch_type_lag3_SI,prev_pitch_type_lag3_SL,prev_pitch_type_lag3_ST,stand_L,stand_R,p_throws_R
FF,2020-07-20,-0.8752022930697375,-1.1272284103072059,-1.1957950385138916,-1.309243854804749,-1.2900797088535048,-1.0957172233761683,-0.22680588907077415,-0.7023360653864409,,,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,True
FF,2020-07-20,-0.8752022930697375,0.07001593700214734,-1.1957950385138916,-1.309243854804749,-1.2900797088535048,-0.5268225279024006,-0.22680588907077415,-0.7023360653864409,0.5261511656393096,0.425511641168513,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,True
CH,2020-07-20,-0.8752022930697375,1.2672602843115006,-1.1957950385138916,-1.309243854804749,-1.2900797088535048,0.042072167571366934,-0.22680588907077415,-0.7023360653864409,0.5834470458609277,0.5945901837807419,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True
FF,2020-07-20,0.1881153177455826,1.2672602843115006,-1.1957950385138916,-1.309243854804749,-1.2900797088535048,0.6109668630451345,-0.22680588907077415,-0.7023360653864409,-0.8871472131606182,-0.8677908953039748,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True
FF,2020-07-20,-0.8752022930697375,-1.1272284103072059,0.03096306563993594,-1.309243854804749,-1.2260153952459956,-1.0957172233761683,-0.22680588907077415,-0.7023360653864409,,,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,True
FF,2020-07-20,-0.8752022930697375,0.07001593700214734,0.03096306563993594,-1.309243854804749,-1.2260153952459956,-0.5268225279024006,-0.22680588907077415,-0.7023360653864409,0.9463209539311802,0.4996688967001924,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,True
FF,2020-07-20,-0.8752022930697375,-1.1272284103072059,1.2577211697937636,-1.309243854804749,-1.1619510816384864,-1.0957172233761683,-0.22680588907077415,-0.7023360653864409,,,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True
FF,2020-07-20,-0.8752022930697375,0.07001593700214734,1.2577211697937636,-1.309243854804749,-1.1619510816384864,-0.5268225279024006,-0.22680588907077415,-0.7023360653864409,0.8890250737095621,0.5649272815680701,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True
FS,2020-07-20,0.1881153177455826,0.07001593700214734,1.2577211697937636,-1.309243854804749,-1.1619510816384864,0.042072167571366934,-0.22680588907077415,-0.7023360653864409,0.927222327190639,,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True
FF,2020-07-20,0.1881153177455826,1.2672602843115006,1.2577211697937636,-1.309243854804749,-1.1619510816384864,0.6109668630451345,-0.22680588907077415,-0.7023360653864409,-1.0208376003443929,-1.0190716965886006,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True
CH,2020-07-20,0.1881153177455826,1.2672602843115006,1.2577211697937636,-1.309243854804749,-1.1619510816384864,1.179861558518902,-0.22680588907077415,-0.7023360653864409,1.1182085945960345,0.9357135592264669,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,True
FS,2020-07-20,1.2514329285609027,1.2672602843115006,1.2577211697937636,-1.309243854804749,-1.1619510816384864,1.7487562539926695,-0.22680588907077415,-0.7023360653864409,-0.6197664387930634,-0.8677908953039748,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True
FF,2020-07-20,2.314750539376223,1.2672602843115006,1.2577211697937636,-1.309243854804749,-1.1619510816384864,2.3176509494664375,-0.22680588907077415,-0.7023360653864409,-0.8871472131606182,-0.4050496207862957,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True
FF,2020-07-24,-0.8752022930697375,-1.1272284103072059,-1.1957950385138916,-0.2476205072334244,0.05527087690418982,-1.0957172233761683,-0.6318300219280917,-0.7023360653864409,,,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,True
FF,2020-07-24,-0.8752022930697375,0.07001593700214734,-1.1957950385138916,-0.2476205072334244,0.05527087690418982,-0.5268225279024006,-0.6318300219280917,-0.7023360653864409,0.6216442993420074,0.8793540450223906,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,True
CH,2020-07-24,-0.8752022930697375,1.2672602843115006,-1.1957950385138916,-0.2476205072334244,0.05527087690418982,0.042072167571366934,-0.6318300219280917,-0.7023360653864409,0.869926446969021,0.9119832374563295,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True
