pitch_type,release_speed,batter,stand,balls,strikes,on_3b,on_2b,on_1b,outs_when_up,release_spin_rate,at_bat_number,pitch_number,pitch_name,bat_score,fld_score,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game
FF,95.9,571970,L,2,2,,,,2,2239,47,5,4-Seam Fastball,2,1,2,5
FS,85,571970,L,1,2,,,,2,1699,47,4,Split-Finger,2,1,2,5
FS,84.5,571970,L,1,1,,,,2,1655,47,3,Split-Finger,2,1,2,5
FS,85.8,571970,L,0,1,,,,2,1771,47,2,Split-Finger,2,1,2,5
FF,95.6,571970,L,0,0,,,,2,2283,47,1,4-Seam Fastball,2,1,2,5
FS,86.3,606192,R,2,2,,,,1,1535,46,5,Split-Finger,2,1,2,5
FS,86.4,606192,R,1,2,,,,1,1726,46,4,Split-Finger,2,1,2,5
FF,94.9,606192,R,1,1,,,,1,2260,46,3,4-Seam Fastball,2,1,2,5
FS,86.5,606192,R,0,1,,,,1,1800,46,2,Split-Finger,2,1,2,5
FF,93.7,606192,R,0,0,,,,1,2153,46,1,4-Seam Fastball,2,1,2,5
FF,94.2,669257,R,3,2,,,,1,2130,45,6,4-Seam Fastball,1,1,2,5
FF,94.3,669257,R,3,1,,,,1,2315,45,5,4-Seam Fastball,1,1,2,5
FF,94.8,669257,R,2,1,,,,1,2220,45,4,4-Seam Fastball,1,1,2,5
FF,95.3,669257,R,1,1,,,,1,2166,45,3,4-Seam Fastball,1,1,2,5
FF,95,669257,R,1,0,,,,1,2116,45,2,4-Seam Fastball,1,1,2,5
FF,94.7,669257,R,0,0,,,,1,1947,45,1,4-Seam Fastball,1,1,2,5
FS,84.8,518692,L,0,0,,,,0,1582,44,1,Split-Finger,1,1,2,5
FF,95.6,605141,R,0,1,,,,2,2444,40,2,4-Seam Fastball,1,1,2,5
FF,94.9,605141,R,0,0,,,,2,2432,40,1,4-Seam Fastball,1,1,2,5
FF,95.6,660271,L,1,1,,,,1,2227,39,3,4-Seam Fastball,1,1,2,5
FF,94.5,660271,L,1,0,,,,1,2223,39,2,4-Seam Fastball,1,1,2,5
FS,85.4,660271,L,0,0,,,,1,1567,39,1,Split-Finger,1,1,2,5
FF,95.1,681624,R,0,0,,,,0,2279,38,1,4-Seam Fastball,1,1,1,5
FS,85.6,669242,L,0,1,,,,2,1578,34,2,Split-Finger,1,1,1,5
FF,94.5,669242,L,0,0,,,,2,2326,34,1,4-Seam Fastball,1,1,1,5
FS,85.2,571771,R,1,2,,,,1,1680,33,4,Split-Finger,1,1,1,5
FS,86.9,571771,R,0,2,,,,1,1846,33,3,Split-Finger,1,1,1,5
FF,95.4,571771,R,0,1,,,,1,2360,33,2,4-Seam Fastball,1,1,1,5
FF,94.5,571771,R,0,0,,,,1,2326,33,1,4-Seam Fastball,1,1,1,5
FS,82.8,571970,L,2,2,,,,0,1649,32,5,Split-Finger,1,1,1,5
FS,84.4,571970,L,1,2,,,,0,1694,32,4,Split-Finger,1,1,1,5
FF,93,571970,L,1,1,,,,0,2179,32,3,4-Seam Fastball,1,1,1,5
FS,84.3,571970,L,1,0,,,,0,1692,32,2,Split-Finger,1,1,1,5
FS,84.8,571970,L,0,0,,,,0,1693,32,1,Split-Finger,1,1,1,5
FS,85.5,606192,R,0,2,,,,2,1536,28,3,Split-Finger,1,1,1,5
FS,85.3,606192,R,0,1,,,,2,1634,28,2,Split-Finger,1,1,1,5
FF,95.3,606192,R,0,0,,,,2,2372,28,1,4-Seam Fastball,1,1,1,5
FF,94.2,669257,R,0,1,,,,1,2297,27,2,4-Seam Fastball,1,1,1,5
FF,93.6,669257,R,0,0,,,,1,2097,27,1,4-Seam Fastball,1,1,1,5
FF,93.6,518692,L,0,0,,,,0,2177,26,1,4-Seam Fastball,1,1,1,5
FF,94.6,605141,R,0,0,,,,2,2106,20,1,4-Seam Fastball,1,0,1,5
FF,95.5,660271,L,1,1,,,,1,2141,19,3,4-Seam Fastball,1,0,1,5
FS,85.1,660271,L,0,1,,,,1,1736,19,2,Split-Finger,1,0,1,5
FF,96.3,660271,L,0,0,,,,1,2278,19,1,4-Seam Fastball,1,0,1,5
FF,94.8,681624,R,1,1,,,,0,2080,18,3,4-Seam Fastball,1,0,0,5
FF,93.9,681624,R,1,0,,,,0,2124,18,2,4-Seam Fastball,1,0,0,5
FF,93.7,681624,R,0,0,,,,0,2035,18,1,4-Seam Fastball,1,0,0,5
FF,94.5,669242,L,3,2,,,,2,2182,13,6,4-Seam Fastball,1,0,0,5
FF,93.3,669242,L,3,1,,,,2,2280,13,5,4-Seam Fastball,1,0,0,5
FF,92.7,669242,L,3,0,,,,2,2311,13,4,4-Seam Fastball,1,0,0,5
FF,92.8,669242,L,2,0,,,,2,2195,13,3,4-Seam Fastball,1,0,0,5
FS,82.4,669242,L,1,0,,,,2,1500,13,2,Split-Finger,1,0,0,5
FF,93.7,669242,L,0,0,,,,2,2101,13,1,4-Seam Fastball,1,0,0,5
FF,94.4,571771,R,2,2,,,,1,2128,12,5,4-Seam Fastball,1,0,0,5
FF,93.1,571771,R,2,1,,,,1,2171,12,4,4-Seam Fastball,1,0,0,5
FS,84.6,571771,R,1,1,,,,1,1696,12,3,Split-Finger,1,0,0,5
FS,85,571771,R,0,1,,,,1,1726,12,2,Split-Finger,1,0,0,5
FF,94.1,571771,R,0,0,,,,1,2343,12,1,4-Seam Fastball,1,0,0,5
FF,93.7,571970,L,0,1,,,,0,2134,11,2,4-Seam Fastball,1,0,0,5
FF,93.3,571970,L,0,0,,,,0,2072,11,1,4-Seam Fastball,1,0,0,5
FS,86.4,606192,R,1,2,,,669257,2,1645,5,4,Split-Finger,1,0,0,5
FS,84.1,606192,R,1,1,,,669257,2,1694,5,3,Split-Finger,1,0,0,5
FS,83.9,606192,R,1,0,,,669257,2,1574,5,2,Split-Finger,1,0,0,5
SL,84.9,606192,R,0,0,,,669257,2,2453,5,1,Slider,1,0,0,5
SL,85.3,669257,R,0,1,,518692,,2,2363,4,2,Slider,0,0,0,5
FF,94.9,669257,R,0,0,,518692,,2,2347,4,1,4-Seam Fastball,0,0,0,5
FS,83.6,518692,L,2,2,,,,2,1593,3,8,Split-Finger,0,0,0,5
FF,95.6,518692,L,2,2,,,,2,2417,3,7,4-Seam Fastball,0,0,0,5
FF,94.1,518692,L,2,2,,,,2,2269,3,6,4-Seam Fastball,0,0,0,5
FS,84.1,518692,L,2,2,,,,2,1681,3,5,Split-Finger,0,0,0,5
FS,84.2,518692,L,2,1,,,,2,1657,3,4,Split-Finger,0,0,0,5
FF,94.4,518692,L,2,0,,,,2,2369,3,3,4-Seam Fastball,0,0,0,5
FS,84.1,518692,L,1,0,,,,2,1701,3,2,Split-Finger,0,0,0,5
FS,84,518692,L,0,0,,,,2,1577,3,1,Split-Finger,0,0,0,5
FF,95.9,605141,R,2,2,,,,1,2424,2,5,4-Seam Fastball,0,0,0,5
SL,85.2,605141,R,1,2,,,,1,2374,2,4,Slider,0,0,0,5
SL,85.4,605141,R,1,1,,,,1,2303,2,3,Slider,0,0,0,5
FF,94.2,605141,R,1,0,,,,1,2324,2,2,4-Seam Fastball,0,0,0,5
FF,95.2,605141,R,0,0,,,,1,2261,2,1,4-Seam Fastball,0,0,0,5
FF,96.2,660271,L,0,2,,,,0,2398,1,3,4-Seam Fastball,0,0,0,5
FF,95.2,660271,L,0,1,,,,0,2280,1,2,4-Seam Fastball,0,0,0,5
FF,94.9,660271,L,0,0,,,,0,2293,1,1,4-Seam Fastball,0,0,0,5
FS,85.3,593871,L,2,2,,663728,647304,2,1615,55,5,Split-Finger,3,1,3,3
FS,84.8,593871,L,2,1,,663728,647304,2,1730,55,4,Split-Finger,3,1,3,3
FS,83.8,593871,L,1,1,,663728,647304,2,1795,55,3,Split-Finger,3,1,3,3
FS,84.7,593871,L,1,0,,663728,647304,2,1573,55,2,Split-Finger,3,1,3,3
FS,84.8,593871,L,0,0,,663728,647304,2,1373,55,1,Split-Finger,3,1,3,3
FF,94.6,647304,L,3,0,,,663728,2,2186,54,4,4-Seam Fastball,3,1,3,3
FS,85.5,647304,L,2,0,,,663728,2,1760,54,3,Split-Finger,3,1,3,3
FF,96,647304,L,1,0,,,663728,2,2306,54,2,4-Seam Fastball,3,1,3,3
FF,95.9,647304,L,0,0,,,663728,2,2378,54,1,4-Seam Fastball,3,1,3,3
FS,84.6,677594,R,0,1,,,645302,0,1516,52,2,Split-Finger,3,1,3,3
FF,94.3,677594,R,0,0,,,645302,0,2186,52,1,4-Seam Fastball,3,1,3,3
FF,94,645302,R,3,2,,,,0,2209,51,8,4-Seam Fastball,3,1,2,3
FS,85.2,645302,R,2,2,,,,0,1552,51,7,Split-Finger,3,1,2,3
FS,84.9,645302,R,2,2,,,,0,1771,51,6,Split-Finger,3,1,2,3
SL,82.8,645302,R,2,2,,,,0,2293,51,5,Slider,3,1,2,3
FF,94.6,645302,R,2,1,,,,0,2230,51,4,4-Seam Fastball,3,1,2,3
SL,85.3,645302,R,1,1,,,,0,2260,51,3,Slider,3,1,2,3
SL,83,645302,R,1,0,,,,0,2341,51,2,Slider,3,1,2,3
FF,94.2,645302,R,0,0,,,,0,2224,51,1,4-Seam Fastball,3,1,2,3
SL,83.3,668227,R,3,0,,,,2,2372,49,4,Slider,1,2,2,5
SL,84.2,668227,R,2,0,,,,2,2409,49,3,Slider,1,2,2,5
FF,94.2,668227,R,1,0,,,,2,2121,49,2,4-Seam Fastball,1,2,2,5
SL,85.7,668227,R,0,0,,,,2,2339,49,1,Slider,1,2,2,5
FF,94.2,647304,L,1,1,,,,1,2140,48,3,4-Seam Fastball,1,2,2,5
FS,85.3,647304,L,0,1,,,,1,1548,48,2,Split-Finger,1,2,2,5
FS,85,647304,L,0,0,,,,1,1652,48,1,Split-Finger,1,2,2,5
FS,82.4,593871,L,3,2,,,,0,1569,47,6,Split-Finger,1,2,2,5
FS,84,593871,L,2,2,,,,0,1710,47,5,Split-Finger,1,2,2,5
FF,93.5,593871,L,2,1,,,,0,2171,47,4,4-Seam Fastball,1,2,2,5
FS,82.9,593871,L,1,1,,,,0,1628,47,3,Split-Finger,1,2,2,5
FS,82.3,593871,L,1,0,,,,0,1623,47,2,Split-Finger,1,2,2,5
FS,82.4,593871,L,0,0,,,,0,1321,47,1,Split-Finger,1,2,2,5
FS,83.3,663728,L,2,2,,,660844,2,1410,41,6,Split-Finger,1,1,2,5
FS,84.1,663728,L,1,2,,,660844,2,1678,41,5,Split-Finger,1,1,2,5
FF,95.8,663728,L,1,2,,,660844,2,2203,41,4,4-Seam Fastball,1,1,2,5
FS,84.8,663728,L,1,1,,,660844,2,1608,41,3,Split-Finger,1,1,2,5
FS,84.5,663728,L,1,0,,,660844,2,1456,41,2,Split-Finger,1,1,2,5
FS,85.1,663728,L,0,0,,,660844,2,1583,41,1,Split-Finger,1,1,2,5
FF,93.8,677594,R,0,0,,,660844,1,2141,40,1,4-Seam Fastball,1,1,2,5
FF,92.6,660844,L,3,0,,,,1,2256,39,4,4-Seam Fastball,1,1,1,5
FF,93,660844,L,2,0,,,,1,2106,39,3,4-Seam Fastball,1,1,1,5
FF,92.7,660844,L,1,0,,,,1,2126,39,2,4-Seam Fastball,1,1,1,5
FF,94.2,660844,L,0,0,,,,1,2064,39,1,4-Seam Fastball,1,1,1,5
FS,84.5,686527,L,1,2,,,,0,1381,38,4,Split-Finger,1,1,1,5
FS,83.1,686527,L,0,2,,,,0,1179,38,3,Split-Finger,1,1,1,5
FS,82.8,686527,L,0,1,,,,0,1282,38,2,Split-Finger,1,1,1,5
FS,83.2,686527,L,0,0,,,,0,1539,38,1,Split-Finger,1,1,1,5
FS,84.1,641487,L,1,1,,668227,,2,1550,31,3,Split-Finger,1,0,1,5
FS,84.2,641487,L,0,1,,,668227,2,1669,31,2,Split-Finger,1,0,1,5
FF,93.4,641487,L,0,0,,,668227,2,2158,31,1,4-Seam Fastball,1,0,1,5
SL,83.6,553993,R,2,1,,,668227,1,2363,30,4,Slider,1,0,1,5
SL,83.4,553993,R,1,1,,,668227,1,2260,30,3,Slider,1,0,1,5
SL,84.4,553993,R,0,1,,,668227,1,2379,30,2,Slider,1,0,1,5
SL,84.1,553993,R,0,0,,,668227,1,2325,30,1,Slider,1,0,1,5
FF,93.4,668227,R,1,1,,,647304,0,2105,29,3,4-Seam Fastball,1,0,1,5
SL,81.9,668227,R,0,1,,,647304,0,2118,29,2,Slider,1,0,1,5
SL,82.1,668227,R,0,0,,,647304,0,2166,29,1,Slider,1,0,1,5
FF,94.5,647304,L,0,1,,,,0,2108,28,2,4-Seam Fastball,1,0,1,5
FF,93.6,647304,L,0,0,,,,0,2013,28,1,4-Seam Fastball,1,0,1,5
FS,84.1,593871,L,1,2,,,,2,1826,22,5,Split-Finger,1,0,1,5
FS,84.1,593871,L,1,2,,,,2,1649,22,4,Split-Finger,1,0,1,5
FS,82.7,593871,L,1,1,,,,2,1543,22,3,Split-Finger,1,0,1,5
FS,84.3,593871,L,1,0,,,,2,1750,22,2,Split-Finger,1,0,1,5
SL,85.5,593871,L,0,0,,,,2,2354,22,1,Slider,1,0,1,5
FS,83.7,663728,L,3,2,,,,1,1787,21,6,Split-Finger,1,0,1,5
FF,94.7,663728,L,3,1,,,,1,2277,21,5,4-Seam Fastball,1,0,1,5
FF,93.1,663728,L,3,0,,,,1,2231,21,4,4-Seam Fastball,1,0,1,5
FS,84.9,663728,L,2,0,,,,1,1786,21,3,Split-Finger,1,0,1,5
FS,84.8,663728,L,1,0,,,,1,1662,21,2,Split-Finger,1,0,1,5
FF,94.8,663728,L,0,0,,,,1,2191,21,1,4-Seam Fastball,1,0,1,5
FF,94.4,677594,R,2,2,,,,0,2267,20,5,4-Seam Fastball,1,0,1,5
FS,85.3,677594,R,1,2,,,,0,1678,20,4,Split-Finger,1,0,1,5
FS,85,677594,R,0,2,,,,0,1404,20,3,Split-Finger,1,0,1,5
